,High,Low,Open,Close,Volume,Adj Close
count,1243.0,1243.0,1243.0,1243.0,1243.0,1243.0
mean,18.32531938606563,17.854553353853603,18.101317034358473,18.10317969840089,22002657.414320193,14.73199439067948
std,5.474903048081267,5.376619801369015,5.4356497474707535,5.433783935198473,10723897.665898316,5.242211332704079
min,8.147239685058594,7.9637861251831055,8.006120681762695,8.00141716003418,0.0,6.082283020019531
25%,14.191736221313477,13.702917575836182,13.935449600219727,13.91091012954712,15023448.5,10.26304006576538
50%,17.173648834228516,16.750904083251953,17.0013427734375,16.95632553100586,20218811.0,13.64645767211914
75%,22.35730743408203,21.77987575531006,22.163785934448242,22.08979320526123,26613478.0,18.389400482177734
max,30.00751304626465,29.316303253173828,29.752065658569336,29.609315872192383,106029201.0,25.589248657226562
