Date,BBAS3,BBDC4,ITUB4
2015-01-02,14.799675941467285,9.609151840209961,13.530573844909668
2015-01-05,14.492573738098145,9.6289701461792,13.598573684692383
2015-01-06,14.695137023925781,9.945728302001953,13.818541526794434
2015-01-07,15.342007637023926,10.34097957611084,14.318498611450195
2015-01-08,15.394283294677734,10.394243240356445,14.542468070983887
2015-01-09,14.727803230285645,9.942930221557617,13.906545639038086
2015-01-12,14.472975730895996,9.766326904296875,13.570572853088379
2015-01-13,14.388032913208008,9.797163963317871,13.554571151733398
2015-01-14,14.492573738098145,9.900880813598633,13.646566390991211
2015-01-15,14.401098251342773,9.79996395111084,13.526580810546875
2015-01-16,14.570989608764648,9.895273208618164,13.734562873840332
2015-01-19,14.505645751953125,9.687837600708008,13.238602638244629
2015-01-20,14.440301895141602,9.656998634338379,13.282601356506348
2015-01-21,14.806212425231934,9.892471313476562,13.674555778503418
2015-01-22,14.930363655090332,10.00179386138916,13.742555618286133
2015-01-23,14.891159057617188,9.914898872375488,13.610568046569824
2015-01-26,14.721277236938477,10.074675559997559,13.770551681518555
2015-01-27,15.028372764587402,10.091495513916016,13.718558311462402
2015-01-28,14.381500244140625,9.881258010864258,13.43858528137207
2015-01-29,14.080931663513184,9.746702194213867,13.346592903137207
2015-01-30,13.499405860900879,9.455171585083008,13.158620834350586
2015-02-02,13.198831558227539,9.5532808303833,13.332682609558105
2015-02-03,13.623547554016113,9.90689468383789,13.704805374145508
2015-02-04,14.570989608764648,10.156534194946289,14.208979606628418
2015-02-05,14.891159057617188,9.99384880065918,14.088934898376465
2015-02-06,14.309626579284668,10.035920143127441,14.056929588317871
2015-02-09,14.675533294677734,10.139700889587402,14.144954681396484
2015-02-10,14.18547248840332,9.927704811096191,13.964900970458984
2015-02-11,14.342289924621582,9.66007137298584,13.728824615478516
2015-02-12,15.100241661071777,10.043203353881836,14.089678764343262
2015-02-13,16.073823928833008,10.31083869934082,14.557145118713379
2015-02-18,15.6491117477417,10.42352294921875,14.643258094787598
2015-02-19,15.910470962524414,10.40098762512207,14.639164924621582
2015-02-20,15.721053123474121,10.426350593566895,14.71707534790039
2015-02-23,15.662032127380371,10.527756690979004,14.860595703125
2015-02-24,15.511178970336914,10.64326286315918,15.01641845703125
2015-02-25,15.183243751525879,10.702421188354492,15.053318977355957
2015-02-26,15.09143352508545,10.724960327148438,15.127134323120117
2015-02-27,15.557089805603027,10.592555046081543,14.967212677001953
2015-03-02,15.524298667907715,10.448877334594727,14.899515151977539
2015-03-03,15.498064994812012,10.471626281738281,15.014391899108887
2015-03-04,14.717591285705566,10.254581451416016,14.883109092712402
2015-03-05,14.78317928314209,10.23766803741455,14.751837730407715
2015-03-06,14.429011344909668,10.1136474609375,14.358019828796387
2015-03-09,13.864969253540039,9.823312759399414,13.984704971313477
2015-03-10,13.950231552124023,9.496335983276367,13.435009002685547
2015-03-11,14.173221588134766,9.781030654907227,13.890358924865723
2015-03-12,14.36342716217041,9.60627269744873,13.947796821594238
2015-03-13,14.015811920166016,9.487878799438477,13.878044128417969
2015-03-16,14.015811920166016,9.628826141357422,13.878044128417969
2015-03-17,14.724154472351074,10.006532669067383,14.275976181030273
2015-03-18,15.7669677734375,10.40116024017334,14.706709861755371
2015-03-19,15.065192222595215,10.226394653320312,14.616462707519531
2015-03-20,15.701374053955078,10.384246826171875,14.739521980285645
2015-03-23,15.714499473571777,10.35887622833252,14.645182609558105
2015-03-24,15.679183959960938,10.260218620300293,14.554926872253418
2015-03-25,15.319352149963379,10.265861511230469,14.542621612548828
2015-03-26,14.719642639160156,9.950160026550293,14.1323823928833
2015-03-27,14.766281127929688,9.673925399780273,13.886255264282227
2015-03-30,15.206072807312012,9.876871109008789,14.353921890258789
2015-03-31,15.266043663024902,9.995260238647461,14.485185623168945
2015-04-01,15.839102745056152,10.319978713989258,14.979722023010254
2015-04-02,16.39217185974121,10.427940368652344,15.123370170593262
2015-04-06,16.978559494018555,10.529473304748535,15.30805492401123
2015-04-07,16.445484161376953,10.587006568908691,15.316253662109375
2015-04-08,16.225584030151367,10.583625793457031,15.390130043029785
2015-04-09,15.632535934448242,10.39409351348877,15.082316398620605
2015-04-10,16.19226837158203,10.434704780578613,15.193136215209961
2015-04-13,16.158952713012695,10.461782455444336,15.074116706848145
2015-04-14,16.039003372192383,10.607316017150879,15.074116706848145
2015-04-15,16.678701400756836,10.72239875793457,15.291638374328613
2015-04-16,17.185123443603516,10.725777626037598,15.176722526550293
2015-04-17,16.358858108520508,10.407630920410156,14.983829498291016
2015-04-20,16.27889060974121,10.350093841552734,14.73348331451416
2015-04-22,16.93857192993164,10.434704780578613,15.143887519836426
2015-04-23,17.518299102783203,10.702089309692383,15.554287910461426
2015-04-24,18.118011474609375,10.999931335449219,16.0590877532959
2015-04-27,17.59160041809082,10.793471336364746,15.759490966796875
2015-04-28,17.658235549926758,10.999931335449219,15.919547080993652
2015-04-29,17.325057983398438,10.671634674072266,15.702025413513184
2015-04-30,17.738197326660156,10.891624450683594,15.812853813171387
2015-05-04,17.618253707885742,10.945781707763672,15.99144172668457
2015-05-05,18.104686737060547,10.988868713378906,15.835423469543457
2015-05-06,18.064708709716797,10.7179594039917,15.437171936035156
2015-05-07,18.564472198486328,10.677324295043945,15.498764038085938
2015-05-08,18.65775489807129,10.7179594039917,15.704032897949219
2015-05-11,18.697738647460938,10.684096336364746,15.630142211914062
2015-05-12,18.33124351501465,10.575733184814453,15.560354232788086
2015-05-13,17.991411209106445,10.47075366973877,15.45359992980957
