,High,Low,Open,Close,Volume,Adj Close
count,1243.0,1243.0,1243.0,1243.0,1243.0,1243.0
mean,26.59935168115151,25.96464863268483,26.28925003855821,26.28931911127853,20962847.840707965,22.283294148341554
std,6.98961156720624,6.875467661667881,6.9435281349662095,6.936553943996655,10449950.051949063,7.3689340170302104
min,14.07272720336914,13.824241638183594,13.939393043518066,13.981818199157715,0.0,10.671473503112793
25%,19.920109748840332,19.327548027038574,19.703028678894043,19.650136947631836,14093625.0,14.984694004058838
50%,26.5,25.833332061767578,26.200000762939453,26.17333221435547,19137750.0,21.633975982666016
75%,33.80500030517578,33.02166557312012,33.33333206176758,33.4233341217041,25361602.5,29.709477424621582
max,39.790000915527344,38.400001525878906,38.66999816894531,39.689998626708984,104917200.0,35.42216110229492
